City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,rikitea,PF,73.72,light rain,-23.1203,-134.9692,People ThankYou
5,ternate,ID,81.52,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
6,kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
8,avarua,CK,73.45,broken clouds,-21.2078,-159.775,Paradise Inn
17,hilo,US,75.61,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
20,porto novo,BJ,81.9,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
22,farafangana,MG,71.1,heavy intensity rain,-22.8167,47.8333,Miarina
23,turayf,SA,72.21,clear sky,31.6725,38.6637,Turaif
26,fare,PF,78.6,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
30,winneba,GH,81.57,broken clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
31,ratnagiri,IN,77.25,clear sky,16.9833,73.3,Hotel Landmark
33,san patricio,US,71.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
34,mkushi,ZM,78.53,broken clouds,-13.6202,29.3939,Mkushi Police Club
37,oussouye,SN,87.8,scattered clouds,12.485,-16.5469,Auberge du Routard
39,savannah bight,HN,81.0,light rain,16.45,-85.85,Villa on Dunbar Rock
40,souillac,MU,73.78,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
42,port elizabeth,ZA,72.1,clear sky,-33.918,25.5701,39 On Nile Guest House
43,saint-philippe,RE,74.79,scattered clouds,-21.3585,55.7679,Le four à pain
45,victoria,HK,77.38,broken clouds,22.2855,114.1577,Mini Central
46,qui nhon,VN,75.24,overcast clouds,13.7667,109.2333,Seagull Hotel
49,morondava,MG,78.85,clear sky,-20.2833,44.2833,La Case Bambou
57,phon,TH,72.82,overcast clouds,15.816,102.5998,Baan Kru Tum Chiang Khan
61,carutapera,BR,89.71,overcast clouds,-1.195,-46.02,Lidera
62,ponta do sol,PT,76.01,light rain,32.6667,-17.1,Hotel do Campo
65,saint-pierre,RE,74.88,overcast clouds,-21.3393,55.4781,Alize Plage
66,castro,BR,78.1,very heavy rain,-24.7911,-50.0119,CHACARA BAILLY
67,mahebourg,MU,73.69,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
75,george town,MY,82.24,light rain,5.4112,100.3354,Cititel Penang
76,kampot,KH,77.05,overcast clouds,10.6167,104.1833,Two Moons Hotel
79,cabo san lucas,MX,85.05,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
81,kapaa,US,74.1,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
82,tombouctou,ML,88.14,clear sky,20.0,-3.0,
84,gerash,IR,73.54,clear sky,27.6652,54.1371,Sa'adat House Gerash
85,port alfred,ZA,70.21,overcast clouds,-33.5906,26.891,The Halyards Hotel & Spa
86,butaritari,KI,81.16,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
87,pyapon,MM,75.92,few clouds,16.2833,95.6833,Aung Naing Thu Motel
89,ambilobe,MG,76.5,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
91,atuona,PF,77.11,clear sky,-9.8,-139.0333,Villa Enata
92,puerto carreno,CO,87.49,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
93,meulaboh,ID,76.8,overcast clouds,4.1363,96.1285,Kost Pria
94,hithadhoo,MV,78.12,overcast clouds,-0.6,73.0833,Scoop Guest House
105,mayumba,GA,78.64,broken clouds,-3.432,10.6554,LIKWALE LODGE
106,pawayan,IN,70.02,clear sky,28.0667,80.1,SBM TOILET
107,diu,IN,77.31,clear sky,20.7141,70.9822,Hotel Relax Inn
108,mier,MX,71.01,clear sky,26.4333,-99.15,Mier 09
109,tefe,BR,87.91,light rain,-3.3542,-64.7114,Aracati Hotel
115,ariquemes,BR,82.4,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
118,sur,OM,77.49,clear sky,22.5667,59.5289,Sur Plaza Hotel
122,davila,PH,78.76,heavy intensity rain,18.4726,120.5763,Blue Ridge Beach Resort
123,dingle,PH,77.56,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
125,bambous virieux,MU,73.65,broken clouds,-20.3428,57.7575,Casa Tia Villa
128,arraial do cabo,BR,89.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
132,isla vista,US,79.34,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
136,sorong,ID,80.65,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
139,dhari,IN,75.79,clear sky,21.3333,71.0167,Anand pan & coldrinks
144,jambi,ID,74.75,light rain,-1.6,103.6167,ASTON Jambi Hotel & Conference Center
145,tabou,CI,80.64,light rain,4.423,-7.3528,hotêl doufoulougou
146,arteaga,MX,72.12,broken clouds,18.4667,-102.4167,
151,grand-santi,GF,82.74,light rain,4.25,-54.3833,Hotel La Villa Couacou
153,boa vista,BR,89.58,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
155,puerto ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
157,buenos aires,AR,85.89,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
158,cayenne,GF,75.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
162,lorengau,PG,81.72,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
164,mersing,MY,76.91,heavy intensity rain,2.4312,103.8405,Timotel Hotel
167,poum,NC,78.01,clear sky,-20.2333,164.0167,
173,lukulu,ZM,83.05,broken clouds,-14.3707,23.242,Ruth Guest House
174,aswan,EG,81.43,few clouds,24.0934,32.907,Nuba Nile
178,la orilla,MX,84.36,broken clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
179,bahia blanca,AR,72.46,few clouds,-38.7196,-62.2724,Hotel Argos
180,cidreira,BR,80.02,clear sky,-30.1811,-50.2056,Hotel Castelo
181,sembakung,ID,75.31,overcast clouds,3.8167,117.25,
182,kununurra,AU,76.98,clear sky,-15.7667,128.7333,Hotel Kununurra
183,dwarka,IN,81.99,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
184,santa rosa,PH,76.98,moderate rain,14.3122,121.1114,Erlyn’s Sta Rosa City Home
189,umm lajj,SA,81.37,scattered clouds,25.0213,37.2685,Moon light Furnished Units
190,padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
196,vila velha,BR,85.95,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
199,caravelas,BR,83.89,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
202,georgetown,MY,82.24,light rain,5.4112,100.3354,Cititel Penang
206,kupang,ID,78.64,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
209,makakilo city,US,76.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
212,pochutla,MX,87.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
214,tiarei,PF,78.82,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
216,nuevo progreso,MX,78.48,broken clouds,23.1667,-97.95,Balneario Rio el Paraiso
217,alofi,NU,73.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
222,takoradi,GH,80.71,light rain,4.8845,-1.7554,Raybow International Hotel
228,les cayes,HT,88.3,overcast clouds,18.2,-73.75,Villa Orphee
230,alice springs,AU,74.75,broken clouds,-23.7,133.8833,Desert Palms Alice Springs
233,nata,PA,84.07,light rain,8.3333,-80.5167,Rey David
234,olinda,BR,83.93,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
237,chuy,UY,82.96,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
244,ixtapa,MX,82.22,clear sky,20.7,-105.2,hotel la terminal
251,iranshahr,IR,82.74,clear sky,27.2025,60.6848,نیک سرشت
252,saint-francois,FR,72.84,clear sky,46.4154,3.9054,Maison Vin d'Hus
257,namibe,AO,75.83,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
259,mazatlan,MX,84.16,clear sky,23.2167,-106.4167,Hotel La Siesta
265,las palmas,ES,74.19,clear sky,28.4204,-14.0131,Casillas De Morales 59.
266,jalingo,NG,83.75,broken clouds,8.8833,11.3667,Debright Motel
267,kudahuvadhoo,MV,81.09,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
272,ambulu,ID,75.07,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
274,vanimo,PG,77.11,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
275,kavieng,PG,82.45,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
278,gwadar,PK,78.96,clear sky,25.1216,62.3254,Sadaf Resort
280,noumea,NC,77.0,clear sky,-22.2763,166.4572,Hôtel Le Lagon
281,oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
282,oranjestad,AW,86.92,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
283,itarema,BR,88.45,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
284,bengkulu,ID,75.43,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
287,tierra blanca,HN,80.26,overcast clouds,14.5833,-88.5833,Guancascos´Hotel & Restaurant
288,malandag,PH,73.87,overcast clouds,6.3094,125.2428,Princess
292,caraballeda,VE,86.07,overcast clouds,10.6112,-66.8522,Ole Caribe
295,kilindoni,TZ,77.81,broken clouds,-7.9139,39.6668,Bustani B&B
297,jatai,BR,89.31,overcast clouds,-17.8814,-51.7144,Hotel Califórnia
300,phan thiet,VN,77.2,heavy intensity rain,10.9333,108.1,Hotel Saigon-PT
301,yulara,AU,74.37,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
303,olutanga,PH,83.07,light rain,7.3106,122.8464,Morales Lodge
304,balabag,PH,81.66,light rain,11.97,121.9192,Astoria Boracay
305,coahuayana,MX,85.6,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
306,kirakira,SB,78.13,overcast clouds,-10.4544,161.9205,SanBiz Lodge
309,acarau,BR,89.62,broken clouds,-2.8856,-40.12,castelo pizzaria
312,inhambane,MZ,73.62,light rain,-23.865,35.3833,Oceano
317,mandera,KE,88.61,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
320,salinopolis,BR,85.8,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
327,dolores,AR,80.29,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
328,kutiyana,IN,80.28,clear sky,21.6233,69.9817,દેવંગી પાન
329,hambantota,LK,79.79,overcast clouds,6.1241,81.1185,Bungalow 63
340,san cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
343,kavaratti,IN,83.12,clear sky,10.5669,72.642,Green leaf
344,bilma,NE,79.47,clear sky,18.6853,12.9164,Expeditions Ténére voyages
349,dunmore town,BS,81.48,clear sky,25.5,-76.65,Coral Sands Hotel
350,tchibanga,GA,74.25,light rain,-2.85,11.0333,
355,bathsheba,BB,83.01,broken clouds,13.2167,-59.5167,Atlantis Hotel
357,azul,AR,72.34,few clouds,-36.777,-59.8585,Cabañas Dulcinea
359,izalco,SV,85.23,overcast clouds,13.7447,-89.6731,Hostal Santa Maria
361,vaitape,PF,78.89,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
363,sao filipe,CV,82.0,overcast clouds,14.8961,-24.4956,Hotel Xaguate
365,rock sound,BS,81.18,clear sky,24.9,-76.2,Pink Corral Bay Property
370,nabire,ID,75.49,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
371,bongandanga,CD,70.05,overcast clouds,1.5,21.05,
372,tomatlan,MX,83.91,clear sky,19.9333,-105.25,El Salvial
374,port shepstone,ZA,71.08,broken clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
377,namatanai,PG,80.91,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
385,waddan,LY,72.97,few clouds,29.1614,16.139,محل الشريف محمد العايب
387,tiznit,MA,84.54,overcast clouds,29.5833,-9.5,
389,catacocha,EC,70.09,broken clouds,-4.0667,-79.6333,Hacienda La Aurora
391,ilhabela,BR,81.36,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
392,puerto ayacucho,VE,85.41,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
393,adre,TD,84.02,scattered clouds,13.4667,22.2,
398,moerai,PF,71.67,overcast clouds,-22.4333,-151.3333,Le Manotel
399,lardos,GR,71.42,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
400,san javier,ES,73.11,scattered clouds,37.8063,-0.8374,Hotel Mar Menor
401,port-gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
402,liuli,TZ,82.45,scattered clouds,-11.0833,34.6333,"Puulu Beach,Puulu Village"
407,umm kaddadah,SD,86.81,broken clouds,13.6017,26.6876,
414,santa maria,BR,88.9,scattered clouds,-29.6842,-53.8069,Hotel Morotin
415,pau,FR,74.05,clear sky,43.4167,-0.5833,Pelecq Hourdebaigt Jeannine
429,richards bay,ZA,70.38,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
430,gamba,GA,77.05,light rain,-2.65,10.0,
435,aitape,PG,77.7,overcast clouds,-3.1374,142.3475,
438,chinsali,ZM,78.87,broken clouds,-10.5414,32.0816,Chisakatu Guest House
443,merauke,ID,79.84,overcast clouds,-8.4667,140.3333,
445,naze,JP,70.72,overcast clouds,28.3667,129.4833,Shishime Hotel
446,miri,MY,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
449,tahta,EG,76.41,clear sky,26.7693,31.5021,فندق الزيات
453,gat,IL,76.41,clear sky,31.61,34.7642,OlusHome
454,quatre cocos,MU,73.51,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
458,nanakuli,US,78.12,clear sky,21.3906,-158.1547,Camp Pālehua
459,labuhan,ID,77.29,overcast clouds,-6.8844,112.2051,DoubleFAG
462,isangel,VU,75.97,scattered clouds,-19.55,169.2667,Tanna Lodge
463,prieska,ZA,88.56,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
465,bushehr,IR,84.29,haze,28.9684,50.8385,Yas Hotel
468,port hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
469,nioki,CD,78.35,broken clouds,-2.7167,17.6833,
470,faanui,PF,78.84,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
475,adrar,MR,89.51,few clouds,20.5022,-10.0711,
476,batticaloa,LK,79.27,broken clouds,7.7102,81.6924,Grand Star Guest House
479,puerto rondon,CO,81.72,moderate rain,6.2805,-71.1,Urbanización Santa Clara
483,mogadishu,SO,79.21,clear sky,2.0371,45.3438,Hotel Juba
489,amalapuram,IN,73.17,broken clouds,16.5833,82.0167,swayamprabha service apartments
500,sao joao da barra,BR,89.69,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
502,elizabethtown,US,70.99,clear sky,37.694,-85.8591,"Motel 6 Elizabethtown, KY"
503,mozarlandia,BR,86.07,broken clouds,-14.7447,-50.5706,Hotel Santa Mônica
505,balabac,PH,81.32,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
507,jamame,SO,79.18,overcast clouds,0.0722,42.7506,
516,raga,SS,77.7,overcast clouds,8.4596,25.678,
518,boueni,YT,78.78,few clouds,-12.9025,45.0761,The feet in water
519,misratah,LY,72.93,clear sky,32.3754,15.0925,Almasa Hotel
522,pangai,TO,76.96,light rain,-19.8,-174.35,Ha'apai Beach Resort
527,zhangzhou,CN,71.53,overcast clouds,24.5133,117.6556,Crowne Plaza Zhangzhou
528,caruray,PH,80.73,overcast clouds,10.3094,119.0128,
529,utete,TZ,75.78,broken clouds,-7.986,38.758,River View Lodge
530,abu dhabi,AE,84.22,clear sky,24.4667,54.3667,Beach Rotana
531,moussoro,TD,87.71,overcast clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
532,nouadhibou,MR,85.98,dust,20.931,-17.0347,El Medina
534,ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
536,nola,IT,72.01,clear sky,40.922,14.5329,Palazzo Giordano Bruno
537,neuquen,AR,75.09,dust,-38.9516,-68.0591,Hotel del Comahue
539,tacoronte,ES,74.39,clear sky,28.4769,-16.4102,Casa Laurel
545,sal rei,CV,82.6,clear sky,16.1833,-22.9167,Marine Club Beach Resort
546,bubaque,GW,83.53,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
548,antalaha,MG,70.79,clear sky,-14.9003,50.2788,Hotel Vitasoa
550,sangueya,GN,83.07,light rain,10.7,-14.3667,
555,touros,BR,84.65,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
556,catuday,PH,76.98,moderate rain,16.2923,119.8062,Benjie's Kubo & Cottages
557,payyannur,IN,76.89,few clouds,12.1,75.2,Kavvayi Beach House
558,bharatpur,IN,75.15,clear sky,27.2167,77.4833,OYO 22446 Sonar Haveli
562,bandarbeyla,SO,78.78,scattered clouds,9.4942,50.8122,JABIR HOTEL
565,puerto del rosario,ES,76.75,clear sky,28.5004,-13.8627,Hotel JM Puerto del Rosario
567,nagua,DO,84.51,broken clouds,19.3832,-69.8474,Hotel Cambri
571,uchiza,PE,86.85,overcast clouds,-8.4592,-76.4633,Hotel San Pedro
574,gondanglegi,ID,73.9,scattered clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
576,sao jose da coroa grande,BR,80.55,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
578,arlit,NE,81.64,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
580,luganville,VU,77.11,clear sky,-15.5333,167.1667,The Espiritu Hotel
583,natal,BR,86.65,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
585,bouar,CF,70.84,broken clouds,5.934,15.596,Motel de l'UNITE
587,le vauclin,MQ,80.65,clear sky,14.5452,-60.8388,Hôtel Cap Macabou
588,bonthe,SL,81.18,broken clouds,7.5264,-12.505,Bonthe Holiday Village
591,san andres,CO,87.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
592,puerto leguizamo,CO,88.36,overcast clouds,-0.1934,-74.7819,la casona de juancho
593,lazaro cardenas,MX,84.56,broken clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
596,panguna,PG,70.47,broken clouds,-6.3164,155.4848,
599,lujan,AR,89.13,few clouds,-34.5703,-59.105,Hotel Biarritz
600,wajir,KE,87.76,clear sky,1.7471,40.0573,Mahatallah Hotel
602,sandakan,MY,78.48,light rain,5.8402,118.1179,Hotel Sandakan
603,buchanan,LR,80.37,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
608,ilebo,CD,76.68,light rain,-4.3167,20.5833,Hôtel BUMAK
610,paso de los toros,UY,88.92,clear sky,-32.8167,-56.5167,Complejo Isabelino
615,nsawam,GH,82.45,light rain,5.8089,-0.3503,Duapa Lodge
617,soc trang,VN,76.39,overcast clouds,9.6033,105.98,Phu Quy Hotel
618,gambela,ET,74.73,overcast clouds,8.25,34.5833,Solomon Debebe Hotel
619,kang,BW,84.33,scattered clouds,-23.6752,22.7876,Kang Ultra Stop
622,saint-georges,GD,85.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
625,los llanos de aridane,ES,75.13,broken clouds,28.6585,-17.9182,Valle Aridane
627,rocha,UY,76.91,scattered clouds,-34.4833,-54.3333,Hotel Arrarte
628,clovis,US,71.83,scattered clouds,36.8252,-119.7029,Fairfield Inn & Suites by Marriott Fresno Clovis
631,wattegama,LK,74.75,overcast clouds,6.7989,81.4808,
635,guerrero negro,MX,72.86,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
639,port blair,IN,77.04,drizzle,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
641,mae hong son,TH,73.56,scattered clouds,19.3003,97.9685,Baiyoke Chalet Hotel
644,rio grande,BR,78.91,clear sky,-32.035,-52.0986,Hotel Atlântico Rio Grande
647,trincomalee,LK,81.01,light rain,8.5711,81.2335,Welcombe Hotel
651,bentiu,SS,80.37,overcast clouds,9.2333,29.8333,Mandela hôtel
654,sambava,MG,72.5,few clouds,-14.2667,50.1667,Melrose
656,ichalkaranji,IN,72.97,overcast clouds,16.7,74.4667,Hotel Hirkani हॉटेल हिरकणी
657,tokonou,GN,76.35,clear sky,9.65,-9.7833,
660,cap malheureux,MU,73.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
661,buraydah,SA,79.25,few clouds,26.326,43.975,Mövenpick Qassim
664,nago,JP,73.83,broken clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
672,nortelandia,BR,79.36,overcast clouds,-14.4547,-56.8028,Pousada e Restaurante Santana
673,valdepenas,ES,79.57,broken clouds,38.7621,-3.3848,Hotel Veracruz Plaza & Spa
680,guanhaes,BR,89.49,few clouds,-18.775,-42.9325,CARAVELLE HOTEL Guanhães - MG
